codigo,descricao,salario_medio_atual,modelo_vencedor,score,previsao_5,previsao_10,previsao_15,previsao_20,tendencia_salarial,tendencia_mercado
841735,Dessecador de Malte,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841740,Vinagreiro,1406.5,XGBoost,0.9999600383170911,1406.7899169921875,1406.7899169921875,1406.7899169921875,1406.7899169921875,Estável,CRESCIMENTO LEVE
841745,Xaropeiro,1411.530303030303,XGBoost,0.9999665672686516,1409.6236572265625,1409.6236572265625,1409.6236572265625,1409.6236572265625,Estável,CRESCIMENTO LEVE
841805,"Operador de Forno (Fabricacao de Paes, Biscoitos e Similares)",1375.406557637345,XGBoost,0.9999604238271796,1374.8155517578125,1374.8155517578125,1374.8155517578125,1374.8155517578125,Estável,RETRAÇÃO LEVE
841810,"Operador de Maquinas de Fabricacao de Doces, Salgados e Massas Alimenticias",1466.3057364341084,XGBoost,0.9999696305906286,1464.563720703125,1464.563720703125,1464.563720703125,1464.563720703125,Estável,RETRAÇÃO LEVE
841815,Operador de Maquinas de Fabricacao de Chocolates e Achocolatados,1325.3000000000002,XGBoost,0.9999701541079447,1324.2314453125,1324.2314453125,1324.2314453125,1324.2314453125,Estável,RETRAÇÃO LEVE
842105,Preparador de Melado e Essencia de Fumo,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842110,Processador de Fumo,1343.25,XGBoost,0.9999599724818008,1343.10498046875,1343.10498046875,1343.10498046875,1343.10498046875,Estável,RETRAÇÃO LEVE
842115,Classificador de Fumo,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842120,Auxiliar de Processamento de Fumo,1302.0,Fallback,0.0,1302.0,1302.0,1302.0,1302.0,Estável,CRESCIMENTO LEVE
842125,Operador de Máquina (Fabricação de Cigarros),,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842135,Operador de Máquina de Preparação de Matéria Prima para Produção de Cigarros,1817.5,XGBoost,0.9999637225246003,1812.4942626953125,1812.4942626953125,1812.4942626953125,1812.4942626953125,Estável,CRESCIMENTO LEVE
